name,calories,dining_hall,description
Caprese Melt,440,Runk,"Pesto, Sliced Tomato and Mozzarella Grilled on Texas Toast"
Seasoned French Fries,120,Runk,Piping hot crispy skin-on French fries with seasoning
Kale Chicken Caesar Salad,530,Runk,Herb grilled chicken and parmesan over kale greens mix & croutons served with homemade caesar dressing.
Chicken Cheesesteak,680,Runk,"Chicken Philly meat, melted pepperjack cheese, sauteed peppers & onions with chipotle mayo served on a hoagie."
Avocado BLT,810,Runk,"Smashed Avocado, Crispy Bacon, Lettuce & Tomato on Toasted 12 Grain Bread."
Chipotle Turkey Sandwich,680,Runk,"Turkey, Monterey Jack, lettuce, tomato, onion & chipotle mayo"
Southwestern Grain Bowl,400,Runk,"Rice, black beans, corn, quinoa, tomato, pepper, onion, sweet potatoes, amaranth, seasoning, pesto"
Teriyaki Chicken and Thai Grains,410,Runk,"Grilled chicken, brown rice, edamame, carrots, bell pepper, quinoa, Thai seasonings, teriyaki sauce"
Stuffed Shells,610,Runk,"Cheese stuffed pasta shells, mozzarella cheese, tomato sauce"
Mac & Cheese,260,Runk,White cheddar macaroni & cheese
Mediterranean Veggie Wrap,500,Runk,"Hummus, feta, cucumber, lettuce & tomato"
Turkey Pinwheel,430,Runk,"Roast turkey breast, baby spinach & everything spiced cream cheese rolled in a flour tortilla"
Chicken & Shrimp Creole,90,O-Hill,"Chicken and shrimp simmered with onion, peppers and mushrooms in a spicy Creole tomato sauce"
White Rice ( 1/2 cup),120,O-Hill,Slow-simmered long grain white rice
Fresh Collard Greens,50,O-Hill,Sauteed collard greens and onions with vinegar
Black-Eyed Pea Salad,60,O-Hill,"Black-eyed peas, bell peppers, celery and green onion in a balsamic-basil vinaigrette"
Mojo Grilled Chicken,150,O-Hill,Grilled chicken in a mojo marinade
Herb Roasted Red Potatoes,80,O-Hill,"Diced roasted red potatoes tossed with rosemary, thyme and marjoram"
Zucchini & Tomatoes,45,O-Hill,Fresh zucchini with stewed tomatoes
Classic Cheese Pizza,270,O-Hill,House-made pizza dough topped with tomato and fresh basil sauce and a generous layer of melted mozzarella
Pepperoni Pizza,290,O-Hill,"House-made pizza dough topped with crispy pepperoni slices, tomato fresh basil sauce and mozzarella cheese"
Sausage & Caramelized Onion Pizza,370,O-Hill,"Italian sausage, caramelized onion, cheese, sliced jalapeno peppers and tomato sauce"
Char-Grilled Turkey Burger,330,O-Hill,"White-meat turkey burger served hot-off-the-grill on a fresh, soft bun"
Grilled Black Bean Burger,310,O-Hill,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun"
Hamburger,330,O-Hill,"Juicy all-beef burger served hot-off-the-grill on a fresh, soft bun"
Reuben Dog,430,O-Hill,Grilled franks wrapped in sauerkraut & Swiss cheese topped with thousand island dressing on a hot dog roll
Crinkle Cut French Fries,80,O-Hill,Piping hot crispy crinkle cut French fries
Roasted Mushrooms,110,O-Hill,"Sliced mushrooms roasted with oil, salt and pepper"
Cavatappi Alfredo with Broccoli,230,O-Hill,Corkscrew pasta in creamy Alfredo sauce with fresh broccoli and diced ham topped with Parmesan
Garlic Herb Breadstick,170,O-Hill,Freshly baked garlic herb breadstick
Coconut Jasmine Rice,170,O-Hill,Jasmine rice and flaked coconut simmered in coconut milk
Thai Red Curry,380,O-Hill,"Sweet potatoes and green bean simmered in a vegan Thai red curry sauce, garam masala, coconut milk and aromatic vegetables"
Pork Ramen,350,O-Hill,"Ramen noodle bowl with roast pork loin, bok choy, carrots and drizzled with a spicy chili sauce"
Berry and Veggie Smoothie,70,O-Hill,Berry and Veggie Smoothie
Chilled Grilled Vegetables,60,O-Hill,"Grilled seasoned zucchini, red onions, green and red peppers and roasted carrots"
Dilled Potato Salad,130,O-Hill,"Red potatoes, celery and onion in a creamy dill dressing"
Roasted Cauliflower,70,O-Hill,Fresh cauliflower seasoned and roasted
Roasted Mushrooms,110,O-Hill,"Sliced mushrooms roasted with oil, salt and pepper"
Buffalo Chicken Mac & Cheese,290,Newcomb,"Cavatappi pasta tossed with creamy cheddar sauce, spicy Buffalo chicken and Asiago cheese"
Dinner Roll,60,Newcomb,Soft and delicious white dinner rolls
Shrimp & Broccoli Stir-Fry,90,Newcomb,"Stir-fried shrimp, broccoli and onion tossed in a flavorful Asian sauce"
Vegetable Chili Fried Rice,190,Newcomb,"Fried rice with pea pods, onion, green onion, garlic, ginger and soy sauce with red chilis"
Eggplant in Garlic Sauce,100,Newcomb,"Stir-fried eggplant, garlic and fresh ginger in a sesame-soy sauce"
Classic Grilled Cheese,430,Newcomb,"Gooey, melted American cheese inside two slices of crisp, buttery white bread"
Smash Burger (1 each),340,Newcomb,Juicy burger pressed with American cheese on a bun
Crinkle French Fries,120,Newcomb,Crispy crinkle cut fries
Herb Roasted Pork Loin,190,Newcomb,"Slow-roasted pork loin seasoned with thyme, sage and garlic"
Cajun Grilled Baked Potato,40,Newcomb,"Grill-finished baked russet potato, tossed with olive oil, salt, pepper and Cajun spices"
California Blend Vegetables,20,Newcomb,"Steamed carrots, broccoli and cauliflower"
Tossed Salad,30,Newcomb,"Crisp romaine lettuce tossed with fresh cucumber, carrot, onion and light Italian dressing"
Cranberry Oatmeal Cookie,170,Newcomb,Allergen friendly baked cranberry oatmeal cookie
Fresh Berries Cup,30,Newcomb,Delightful mix of juicy strawberries & plump blueberries. A burst of natural sweetness in every bite
Classic Cheese Pizza,280,Newcomb,House-made pizza dough topped with rich tomato sauce and generous layer of melted mozzarella cheese
Pepperoni Pizza,300,Newcomb,Generous layer of crispy pepperoni slices atop a house-made tomato sauce and melted mozzarella
Sausage & Caramelized Onion Pizza,370,Newcomb,"Italian sausage, caramelized onion, cheese, sliced jalapeno peppers and tomato sauce"
Grilled Vegetable Pizza,290,Newcomb,"A medley of fresh, grilled vegetables, topped with rich tomato sauce and melted mozzarella"
Black-Eyed Pea Salad,60,Newcomb,"Black-eyed peas, bell peppers, celery and green onion in a balsamic-basil vinaigrette"
Confetti Brown Rice,120,Newcomb,Seasoned brown rice with diced onion and bell peppers
Grilled Zucchini Squash,20,Newcomb,Grilled zucchini squash slices
Vegan Jambalaya,200,Newcomb,Flavorful vegan jambalaya with vegetables and cayenne pepper over red beans and rice
Chimichurri Potato Salad,110,Newcomb,"A South American twist to an All American favorite. Tender potatoes tossed in a herby blend of finely chopped parsley, garlic, oregano and cilantro"
Italian Lentil Salad,140,Newcomb,Tender brown lentils tossed with tangy Italian vinaigrette
Spicy Citrus-Cucumber Slaw,35,Newcomb,"Shredded cucumber, carrot, and onion with lime, lemon, and cilantro"
Ranch Potato Chips,100,Newcomb,Crispy house-made potato chips seasoned with a ranch spice blend
Chicken Gumbo with Brown Rice (6 fl oz),110,Newcomb,"Homemade gumbo with chicken, okra, bacon, tomatoes, onion, celery and garlic in spicy chicken broth"
Butternut Squash Bisque (6 fl oz),70,Newcomb,"Puree of butternut squash and sweet potatoes spiced with pumpkin pie spice, nutmeg and fresh ginger"
Giardiniera,50,Newcomb,Italian relish of pickled vegetables in olive oil
BBQ Tortilla Chips,280,Newcomb,Fried tortillas seasoned with Mesquite BBQ
Chicken Trattoria Melt,290,Newcomb,"Grilled chicken, roasted red peppers, provolone cheese on whole grain flat bread with pesto mayo"
Roasted Mushroom & Feta Panini,350,Newcomb,Roasted mushrooms with provolone and a spinach feta spread on Italian bread
Spicy Tomato Relish,15,Newcomb,Tomato relish with thai basil and habanero chili
Saltine Crackers,25,Newcomb,Saltine crackers
Baked Macaroni & Cheese,240,Newcomb,Corkscrew pasta in a creamy Cheddar cheese sauce with a golden asiago cheese-bread crumb topping
Seasoned Steamed Green Beans,25,Newcomb,Tender steamed green beans seasoned with garlic and herbs
Mesquite Chicken,140,Newcomb,Baked chicken breast coated with mesquite BBQ seasoning
Overnight Oatmeal,220,"Runk, O-Hill","A creamy combination of oatmeal, milk, yogurt and honey."
